symptom,description,category,overlap
symptom_489,Auto-generated description for symptom_489,depression,0.58
symptom_490,Auto-generated description for symptom_490,mood_instability,0.39
symptom_491,Auto-generated description for symptom_491,sleep_issues,0.17
symptom_492,Auto-generated description for symptom_492,anxiety,0.5
symptom_493,Auto-generated description for symptom_493,mood_instability,0.12
symptom_494,Auto-generated description for symptom_494,trauma,0.54
symptom_495,Auto-generated description for symptom_495,anxiety,0.5
symptom_496,Auto-generated description for symptom_496,mood_instability,0.47
symptom_497,Auto-generated description for symptom_497,anger,0.55
symptom_498,Auto-generated description for symptom_498,trauma,0.56
symptom_499,Auto-generated description for symptom_499,depression,0.35
