symptom,category,description,severity_hint,overlap_groups
overthinking_348,stress,excessive thinking patterns (variant 348),mild,stress.cognitive
burnout_signs_349,stress,classic burnout symptoms (variant 349),mild,stress.burnout
dizziness_350,anxiety,feeling dizzy during tense moments (variant 350),moderate,anxiety.physical
blushing_351,social_anxiety,excessive blushing in social situations (variant 351),severe,social.physical
poor_sleep_352,depression,sleep difficulties linked to mood issues (variant 352),severe,mood.sleep
avoidance_triggers_353,PTSD,avoiding trauma-related cues (variant 353),moderate,ptsd.avoid
overthinking_354,stress,excessive thinking patterns (variant 354),moderate,stress.cognitive
self_doubt_355,depression,frequent self-doubting thoughts (variant 355),moderate,mood.self
symmetry_needs_356,OCD,urge for symmetry and exactness (variant 356),moderate,ocd.order
sweating_357,panic_disorder,sudden sweating during panic attacks (variant 357),moderate,panic.physical
trembling_358,panic_disorder,full-body trembling (variant 358),moderate,panic.somatic
social_withdrawal_359,depression,avoiding social interactions (variant 359),severe,mood.isolation
sweating_360,panic_disorder,sudden sweating during panic attacks (variant 360),severe,panic.physical
flashbacks_361,PTSD,sudden intrusive trauma memories (variant 361),moderate,ptsd.intrusion
fear_of_losing_control_362,panic_disorder,fear of losing control in public (variant 362),severe,panic.fear
hopelessness_363,depression,feeling that nothing will improve (variant 363),moderate,mood.hopeless
trembling_364,panic_disorder,full-body trembling (variant 364),severe,panic.somatic
dizziness_365,anxiety,feeling dizzy during tense moments (variant 365),moderate,anxiety.physical
blushing_366,social_anxiety,excessive blushing in social situations (variant 366),mild,social.physical
impulsiveness_367,ADHD,acting without thinking (variant 367),severe,adhd.impulse
rapid_speech_368,bipolar,very fast and pressured speech (variant 368),moderate,bipolar.mania
detachment_369,burnout,emotional distance from work life (variant 369),moderate,burnout.emotion
rapid_speech_370,bipolar,very fast and pressured speech (variant 370),mild,bipolar.mania
fear_of_uncertainty_371,anxiety,fear of unpredictable events (variant 371),severe,anxiety.fear
fear_of_judgment_372,social_anxiety,fear of negative evaluation (variant 372),severe,social.fear
worrying_373,anxiety,chronic worrying about daily life (variant 373),moderate,anxiety.cognitive
overthinking_374,stress,excessive thinking patterns (variant 374),mild,stress.cognitive
worthlessness_375,depression,feelings of worthlessness (variant 375),severe,mood.value
emotional_numbness_376,PTSD,feeling emotionally disconnected (variant 376),severe,ptsd.emotion
sweating_377,panic_disorder,sudden sweating during panic attacks (variant 377),mild,panic.physical
social_avoidance_378,social_anxiety,avoiding social interactions (variant 378),mild,social.avoid
fidgeting_379,ADHD,inability to stay still (variant 379),severe,adhd.behavior
lack_of_connection_380,loneliness,difficulty connecting with others (variant 380),mild,lonely.social
worrying_381,anxiety,chronic worrying about daily life (variant 381),moderate,anxiety.cognitive
social_avoidance_382,social_anxiety,avoiding social interactions (variant 382),severe,social.avoid
obsessive_thoughts_383,OCD,repeating intrusive thoughts (variant 383),mild,ocd.obsession
muscle_tension_384,stress,tight muscles caused by stress (variant 384),mild,stress.physical
fear_of_uncertainty_385,anxiety,fear of unpredictable events (variant 385),mild,anxiety.fear
isolation_feelings_386,loneliness,persistent feeling of isolation (variant 386),moderate,lonely.emotion
fear_of_losing_control_387,panic_disorder,fear of losing control in public (variant 387),mild,panic.fear
trembling_388,panic_disorder,full-body trembling (variant 388),severe,panic.somatic
muscle_tension_389,stress,tight muscles caused by stress (variant 389),moderate,stress.physical
dizziness_390,anxiety,feeling dizzy during tense moments (variant 390),mild,anxiety.physical
low_energy_391,depression,persistent low energy affecting daily life (variant 391),severe,mood.low
elevated_energy_392,bipolar,sharp increase in energy levels (variant 392),severe,bipolar.energy
overthinking_393,stress,excessive thinking patterns (variant 393),moderate,stress.cognitive
muscle_tension_394,stress,tight muscles caused by stress (variant 394),moderate,stress.physical
fear_of_uncertainty_395,anxiety,fear of unpredictable events (variant 395),moderate,anxiety.fear
obsessive_thoughts_396,OCD,repeating intrusive thoughts (variant 396),moderate,ocd.obsession
crying_spells_397,depression,unexpected crying spells (variant 397),severe,mood.tears
fear_of_judgment_398,social_anxiety,fear of negative evaluation (variant 398),moderate,social.fear
depressive_crash_399,bipolar,abrupt drop into depressive symptoms (variant 399),severe,bipolar.depression
elevated_energy_400,bipolar,sharp increase in energy levels (variant 400),severe,bipolar.energy
forgetfulness_401,ADHD,consistently forgetting tasks (variant 401),severe,adhd.memory
low_energy_402,depression,persistent low energy affecting daily life (variant 402),severe,mood.low
muscle_tension_403,stress,tight muscles caused by stress (variant 403),severe,stress.physical
fear_of_judgment_404,social_anxiety,fear of negative evaluation (variant 404),moderate,social.fear
self_doubt_405,depression,frequent self-doubting thoughts (variant 405),mild,mood.self
checking_behavior_406,OCD,checking locks or stoves repeatedly (variant 406),moderate,ocd.compulsion
worrying_407,anxiety,chronic worrying about daily life (variant 407),severe,anxiety.cognitive
self_doubt_408,depression,frequent self-doubting thoughts (variant 408),moderate,mood.self
hopelessness_409,depression,feeling that nothing will improve (variant 409),mild,mood.hopeless
fast_heartbeat_410,anxiety,rapid heartbeats during stress (variant 410),severe,anxiety.physical
reduced_performance_411,burnout,decline in professional efficiency (variant 411),severe,burnout.performance
dizziness_412,anxiety,feeling dizzy during tense moments (variant 412),mild,anxiety.physical
dizziness_413,anxiety,feeling dizzy during tense moments (variant 413),mild,anxiety.physical
elevated_energy_414,bipolar,sharp increase in energy levels (variant 414),moderate,bipolar.energy
fidgeting_415,ADHD,inability to stay still (variant 415),severe,adhd.behavior
easy_distractibility_416,ADHD,difficulty staying focused (variant 416),mild,adhd.attention
sweating_417,panic_disorder,sudden sweating during panic attacks (variant 417),mild,panic.physical
elevated_energy_418,bipolar,sharp increase in energy levels (variant 418),moderate,bipolar.energy
trembling_419,panic_disorder,full-body trembling (variant 419),moderate,panic.somatic
fear_of_judgment_420,social_anxiety,fear of negative evaluation (variant 420),mild,social.fear
detachment_421,burnout,emotional distance from work life (variant 421),moderate,burnout.emotion
tight_chest_422,anxiety,chest tightness during anxious moments (variant 422),mild,anxiety.somatic
contamination_fear_423,OCD,fear of contamination or germs (variant 423),mild,ocd.fear
worthlessness_424,depression,feelings of worthlessness (variant 424),moderate,mood.value
burnout_signs_425,stress,classic burnout symptoms (variant 425),mild,stress.burnout
social_withdrawal_426,depression,avoiding social interactions (variant 426),mild,mood.isolation
fast_heartbeat_427,anxiety,rapid heartbeats during stress (variant 427),moderate,anxiety.physical
social_avoidance_428,social_anxiety,avoiding social interactions (variant 428),mild,social.avoid
fear_of_judgment_429,social_anxiety,fear of negative evaluation (variant 429),moderate,social.fear
tight_chest_430,anxiety,chest tightness during anxious moments (variant 430),moderate,anxiety.somatic
social_avoidance_431,social_anxiety,avoiding social interactions (variant 431),mild,social.avoid
detachment_432,burnout,emotional distance from work life (variant 432),severe,burnout.emotion
crying_spells_433,depression,unexpected crying spells (variant 433),mild,mood.tears
detachment_434,burnout,emotional distance from work life (variant 434),moderate,burnout.emotion
fear_of_uncertainty_435,anxiety,fear of unpredictable events (variant 435),moderate,anxiety.fear
worthlessness_436,depression,feelings of worthlessness (variant 436),moderate,mood.value
lack_of_connection_437,loneliness,difficulty connecting with others (variant 437),moderate,lonely.social
flashbacks_438,PTSD,sudden intrusive trauma memories (variant 438),moderate,ptsd.intrusion
sweating_439,panic_disorder,sudden sweating during panic attacks (variant 439),moderate,panic.physical
fear_of_judgment_440,social_anxiety,fear of negative evaluation (variant 440),moderate,social.fear
trembling_441,panic_disorder,full-body trembling (variant 441),severe,panic.somatic
checking_behavior_442,OCD,checking locks or stoves repeatedly (variant 442),moderate,ocd.compulsion
impulsiveness_443,ADHD,acting without thinking (variant 443),moderate,adhd.impulse
avoidance_triggers_444,PTSD,avoiding trauma-related cues (variant 444),mild,ptsd.avoid
fear_of_judgment_445,social_anxiety,fear of negative evaluation (variant 445),mild,social.fear
restlessness_446,anxiety,persistent restless feelings (variant 446),moderate,anxiety.general
easy_distractibility_447,ADHD,difficulty staying focused (variant 447),severe,adhd.attention
social_withdrawal_448,depression,avoiding social interactions (variant 448),mild,mood.isolation
sweating_449,panic_disorder,sudden sweating during panic attacks (variant 449),severe,panic.physical
overthinking_450,stress,excessive thinking patterns (variant 450),moderate,stress.cognitive
fast_heartbeat_451,anxiety,rapid heartbeats during stress (variant 451),severe,anxiety.physical
detachment_452,burnout,emotional distance from work life (variant 452),severe,burnout.emotion
lack_of_connection_453,loneliness,difficulty connecting with others (variant 453),mild,lonely.social
fear_of_uncertainty_454,anxiety,fear of unpredictable events (variant 454),mild,anxiety.fear
worthlessness_455,depression,feelings of worthlessness (variant 455),moderate,mood.value
low_energy_456,depression,persistent low energy affecting daily life (variant 456),mild,mood.low
fear_of_uncertainty_457,anxiety,fear of unpredictable events (variant 457),mild,anxiety.fear
overthinking_458,stress,excessive thinking patterns (variant 458),severe,stress.cognitive
avoidance_triggers_459,PTSD,avoiding trauma-related cues (variant 459),mild,ptsd.avoid
overthinking_460,stress,excessive thinking patterns (variant 460),moderate,stress.cognitive
crying_spells_461,depression,unexpected crying spells (variant 461),moderate,mood.tears
checking_behavior_462,OCD,checking locks or stoves repeatedly (variant 462),severe,ocd.compulsion
reduced_performance_463,burnout,decline in professional efficiency (variant 463),severe,burnout.performance
muscle_tension_464,stress,tight muscles caused by stress (variant 464),moderate,stress.physical
contamination_fear_465,OCD,fear of contamination or germs (variant 465),mild,ocd.fear
isolation_feelings_466,loneliness,persistent feeling of isolation (variant 466),mild,lonely.emotion
symmetry_needs_467,OCD,urge for symmetry and exactness (variant 467),severe,ocd.order
low_energy_468,depression,persistent low energy affecting daily life (variant 468),moderate,mood.low
social_avoidance_469,social_anxiety,avoiding social interactions (variant 469),mild,social.avoid
overthinking_470,stress,excessive thinking patterns (variant 470),moderate,stress.cognitive
risky_behavior_471,bipolar,risk-taking behaviors (variant 471),mild,bipolar.impulse
flashbacks_472,PTSD,sudden intrusive trauma memories (variant 472),mild,ptsd.intrusion
tight_chest_473,anxiety,chest tightness during anxious moments (variant 473),mild,anxiety.somatic
easy_distractibility_474,ADHD,difficulty staying focused (variant 474),severe,adhd.attention
nightmares_475,PTSD,trauma-related nightmares (variant 475),severe,ptsd.sleep
hopelessness_476,depression,feeling that nothing will improve (variant 476),mild,mood.hopeless
crying_spells_477,depression,unexpected crying spells (variant 477),moderate,mood.tears
checking_behavior_478,OCD,checking locks or stoves repeatedly (variant 478),mild,ocd.compulsion
hopelessness_479,depression,feeling that nothing will improve (variant 479),severe,mood.hopeless
social_withdrawal_480,depression,avoiding social interactions (variant 480),mild,mood.isolation
flashbacks_481,PTSD,sudden intrusive trauma memories (variant 481),mild,ptsd.intrusion
hyperventilation_482,panic_disorder,breathing rapidly during episodes (variant 482),moderate,panic.breath
easy_distractibility_483,ADHD,difficulty staying focused (variant 483),mild,adhd.attention
flashbacks_484,PTSD,sudden intrusive trauma memories (variant 484),mild,ptsd.intrusion
hyperventilation_485,panic_disorder,breathing rapidly during episodes (variant 485),severe,panic.breath
hopelessness_486,depression,feeling that nothing will improve (variant 486),moderate,mood.hopeless
burnout_signs_487,stress,classic burnout symptoms (variant 487),severe,stress.burnout
dizziness_488,anxiety,feeling dizzy during tense moments (variant 488),severe,anxiety.physical
symmetry_needs_489,OCD,urge for symmetry and exactness (variant 489),mild,ocd.order
symmetry_needs_490,OCD,urge for symmetry and exactness (variant 490),moderate,ocd.order
emotional_numbness_491,PTSD,feeling emotionally disconnected (variant 491),severe,ptsd.emotion
social_withdrawal_492,depression,avoiding social interactions (variant 492),moderate,mood.isolation
symmetry_needs_493,OCD,urge for symmetry and exactness (variant 493),mild,ocd.order
social_withdrawal_494,depression,avoiding social interactions (variant 494),severe,mood.isolation
self_doubt_495,depression,frequent self-doubting thoughts (variant 495),mild,mood.self
trembling_496,panic_disorder,full-body trembling (variant 496),moderate,panic.somatic
fidgeting_497,ADHD,inability to stay still (variant 497),moderate,adhd.behavior
hyperventilation_498,panic_disorder,breathing rapidly during episodes (variant 498),mild,panic.breath
flashbacks_499,PTSD,sudden intrusive trauma memories (variant 499),mild,ptsd.intrusion
